symbol,timestamp,datetime,direction,move_pct,low,high,rsi,bb_pct_b,zscore,volume_ratio,funding_rate,sma_slope_pct
1000SATSUSDT,1776312000000,2026-04-16 05:00,UP,11.188811188811187,1.43e-05,1.59e-05,39.99999999999999,0.16503215767871654,-1.339871369285132,0.48044874914563307,5e-05,0.21530190668810517
1000SATSUSDT,1776315600000,2026-04-16 06:00,UP,13.33333333333333,1.5e-05,1.7e-05,82.60869565217385,1.2032967449708383,2.8131869798833504,4.252159841335032,5e-05,0.2542436816295616
1000SATSUSDT,1776319200000,2026-04-16 07:00,DOWN,10.389610389610377,1.54e-05,1.7e-05,66.66666666666666,0.8563729481016903,1.4254917924067596,0.8249260159125076,5e-05,0.3570839219663713
1000SATSUSDT,1776322800000,2026-04-16 08:00,UP,18.471337579617852,1.57e-05,1.86e-05,34.615384615384556,0.4382808370195519,-0.24687665192179256,0.18213439484559477,5e-05,0.17944285697487272
1000SATSUSDT,1776326400000,2026-04-16 09:00,UP,11.976047904191624,1.67e-05,1.87e-05,61.53846153846158,0.6998479940790039,0.7993919763160169,2.287252985434784,5e-05,0.32712121212120127
1000SATSUSDT,1776330000000,2026-04-16 10:00,DOWN,14.110429447852772,1.63e-05,1.86e-05,57.50000000000003,0.7066224579424965,0.8264898317699869,0.6766602782939554,5e-05,0.3717820272683736
1000SATSUSDT,1776340800000,2026-04-16 13:00,UP,24.418604651162774,1.72e-05,2.14e-05,69.6969696969697,1.1984592434117212,2.793836973646879,2.5622509706122782,5e-05,0.005618825876101046
1000SATSUSDT,1776344400000,2026-04-16 14:00,DOWN,19.1860465116279,1.72e-05,2.05e-05,70.37037037037042,0.6808447545385065,0.7233790181540258,1.0525010115803606,5e-05,0.2204855211990793
1000SATSUSDT,1776348000000,2026-04-16 15:00,UP,14.45086705202312,1.73e-05,1.98e-05,37.93103448275861,0.08570848187065358,-1.6571660725173871,0.6853787562254754,5e-05,0.09300595238095154
1000SATSUSDT,1776351600000,2026-04-16 16:00,UP,19.021739130434785,1.84e-05,2.19e-05,72.97297297297297,0.7435107646589154,0.9740430586356605,1.1447322716062642,5e-05,0.21821089534534033
1000SATSUSDT,1776355200000,2026-04-16 17:00,DOWN,18.181818181818173,1.87e-05,2.21e-05,66.66666666666669,0.905346794225488,1.6213871769019512,2.360354215002419,5e-05,0.3757499810131361
